id,Comments,Gender,Reason
448,"フロントデスクのスタッフはとてもフレンドリーでした。 ホテルのロビーはとても素敵で広々としていました。","女性","ビジネス"
449,"フロントデスクのスタッフは非常に親切でした, プロ, そしてフレンドリー。 ","男性","レジャー"
450,"フロントのスタッフはとてもフレンドリーで親切でした","男性","ビジネス"
451,"スタッフは非常に親切で、快適に過ごせました。","女性","レジャー"
452,"とても親切なスタッフ。","女性","ビジネス"
453,"スタッフはとてもフレンドリーで親切です。 部屋も共用エリアもとても清潔でした。","男性","レジャー"
454,"スタッフ全員が親切でフレンドリーでした","男性","ビジネス"
455,"スタッフ全員が非常に親切でフレンドリーです","女性","レジャー"
456,"素晴らしいホテル,良い場所, 素晴らしい経験でした！","女性","ビジネス"
457,"到着時の素晴らしい歓迎を受けました。 とても広々とした部屋です。","男性","レジャー"
458,"バーの値段は少し高かったです。 その他はすべて非常に良好でした。 素晴らしいホテルスタッフと素晴らしいロケーション","男性","ビジネス"
459,"バスルームが暗すぎる。 小さな部屋なのに値段が高い。","女性","レジャー"
460,"エレベーターが故障した","女性","ビジネス"
461,"エレベーターが故障して騒音がする","男性","レジャー"
462,"エレベーターが壊れていた","男性","ビジネス"
463,"リフトは遅すぎます。","女性","レジャー"
464,"従業員は皆礼儀正しく、控えめな対応でした。 ","女性","ビジネス"
465,"素晴らしいスタッフ","男性","レジャー"
466,"優秀なスタッフ","男性","ビジネス"
467,"インターネットを閲覧することは不可能でした","女性","レジャー"
468,"ベッドは寝心地が悪かった, カーペットは汚れていた","女性","ビジネス"
469,"廊下は暗すぎた","男性","レジャー"
470,"廊下が暗すぎる","男性","ビジネス"
471,"見つけにくい","女性","レジャー"
472,"何もすることがなかった","女性","ビジネス"
473,"景色は悪かった","男性","レジャー"
474,"サービスは遅かった","男性","ビジネス"
475,"朝食に選択肢がない","女性","レジャー"
476,"インターネット接続がなかった","女性","ビジネス"
477,"食事の時間が早すぎた","男性","レジャー"
478,"朝食は別料金です","男性","ビジネス"
479,"夜は何もすることがなく、レストランも閉まっていました。","女性","レジャー"
480,"あなたは私の部屋を一度も掃除してくれなかった","女性","ビジネス"
481,"プールはいつも閉まっていた","男性","レジャー"
482,"朝食に十分な時間をかけられない","男性","ビジネス"
483,"ベッドは快適ではなかった","女性","レジャー"
484,"テレビが壊れた","女性","ビジネス"
485,"自転車を駐車できない","男性","レジャー"
486,"夕方の騒音が多すぎる","女性","ビジネス"
487,"バスルームに石鹸がなかった","男性","レジャー"
488,"禁煙ルーム","男性","ビジネス"
489,"暖房の音がうるさかった（夜）","女性","レジャー"
490,"灰皿は空になっていなかった","女性","ビジネス"
491,"ルームサービスが悪かった。 改装が必要","男性","レジャー"
492,"ジュースは新鮮ではなかった","男性","ビジネス"
493,"部屋にヘアドライヤーはありません","女性","レジャー"
494,"マットレスが非常に不快","女性","ビジネス"
495,"バーの音楽がひどい","男性","ビジネス"
496,"バスルームの鏡が汚れていた","女性","レジャー"
497,"非常に古風な家具","女性","ビジネス"
498,"ファミリールームが足りない","男性","レジャー"
499,"インターネットアクセスなし","男性","ビジネス"
500,"ホテルのウェブサイトはあまりユーザーフレンドリーではない","女性","レジャー"
501,"部屋に満足していない - かなり狭すぎる","女性","ビジネス"
502,"ホテルは中心部に位置していない","男性","レジャー"
503,"バスルームが小さすぎた","男性","ビジネス"
504,"設備が悪い","女性","レジャー"
505,"小規模会議室","女性","ビジネス"
506,"不親切なウェイトレス","男性","レジャー"
507,"ベッドは硬すぎました。 カーペットは破れていて臭かった。 一言で言えば, ホテルの状態が悪い, スタッフはフレンドリーでした","男性","ビジネス"
508,"残念ながら荷物は紛失してしまいました","女性","レジャー"
509,"駐車場が暗すぎた","男性","レジャー"
510,"バーは高すぎた","男性","ビジネス"
511,"子供が多すぎる","女性","レジャー"
512,"シーツが不快だった","女性","ビジネス"
513,"部屋に椅子がない","男性","レジャー"
514,"バスで到着することはできません","男性","ビジネス"
515,"立地は良いが駅から遠すぎる","女性","レジャー"
516,"レイトチェックアウトも全く問題ありませんでした。 素晴らしいサービス。","女性","ビジネス"
517,"ホテルは時代遅れだ","男性","レジャー"
518,"部屋があまりに匿名です。 追加料金が高すぎます。","男性","ビジネス"
519,"食べ物はあまり美味しくなく、かなり高価です。","女性","レジャー"
520,"部屋の内装は古めかしく、使い古されています。","女性","ビジネス"
521,"プールの利用は有料です","男性","レジャー"
522,"部屋のカーペットにシミがあった","男性","ビジネス"
523,"皆さんとてもフレンドリーで親切でした。","女性","レジャー"
524,"雰囲気, 親しみやすさ","女性","ビジネス"
525,"サービス, 親しみやすさ, 清潔さ","男性","レジャー"
526,"素晴らしいサービスですが、非常に古めかしいので、早急に修復/改修が必要です。","男性","ビジネス"
527,"素晴らしいサービスと受付。","女性","レジャー"
528,"素晴らしい朝食ビュッフェ","女性","ビジネス"
529,"完璧なロケーション","男性","レジャー"
530,"完璧なロケーション","男性","ビジネス"
531,"アップグレードはありません。","女性","ビジネス"
532,"コストパフォーマンスに優れたホテルです。","女性","レジャー"
533,"より良い朝食","男性","レジャー"
534,"楽しい滞在","男性","ビジネス"
535,"壮大な建造物。 優れた価値","女性","レジャー"
536,"素晴らしいホテルです！","女性","ビジネス"
537,"素晴らしい歓迎です！","男性","レジャー"
538,"食事は最高でした","男性","ビジネス"
539,"食事は素晴らしかった","女性","レジャー"
540,"食事は素晴らしかった","女性","ビジネス"
541,"食べ物は美味しかった","男性","レジャー"
542,"食べ物は美味しかったです。","男性","ビジネス"
543,"食事は素晴らしかった","女性","レジャー"
544,"食事は素晴らしかった","女性","ビジネス"
545,"食べ物は美味しくなかった。","男性","レジャー"
546,"食べ物は素晴らしかった","男性","ビジネス"
547,"食べ物はとても美味しかったです。","女性","レジャー"
548,"値段が少し高い","女性","ビジネス"
549,"プロフェッショナリズム","男性","レジャー"
550,"迅速なサービス","男性","ビジネス"
551,"無料WiFiを提供する","女性","レジャー"
552,"少し汚くてうるさい","女性","ビジネス"
553,"枕の上のチョコレートを楽しみました ;-)","男性","レジャー"
554,"楽しい滞在","男性","ビジネス"
555,"フレンドリーで親切なスタッフ。","女性","レジャー"
556,"壮大な建造物。","女性","ビジネス"
557,"素晴らしいホテルです！","男性","レジャー"
558,"素晴らしい歓迎です！","男性","ビジネス"
559,"隣の部屋から大きな騒音が聞こえる","女性","レジャー"
560,"すべて順調でした。","男性","レジャー"
561,"すべてが良かった","男性","ビジネス"
562,"全て良かったです！！","女性","レジャー"
563,"すべてが素晴らしかった","女性","ビジネス"
564,"すべてが素晴らしかった","男性","レジャー"
565,"すべてが素晴らしかった","男性","ビジネス"
566,"すべてが素晴らしかったです！","女性","レジャー"
567,"すべてが素晴らしかったです。","女性","ビジネス"
568,"すべてが素晴らしかったです。","男性","レジャー"
569,"すべてが完璧でした。","男性","ビジネス"
570,"すべてが素晴らしかったです。","女性","レジャー"
571,"すべてが完璧でした","女性","ビジネス"
572,"すべてが完璧でした","男性","レジャー"
573,"すべてが完璧でした。","男性","ビジネス"
574,"すべて満足でした。","女性","レジャー"
575,"すべてが素晴らしかった","女性","ビジネス"
576,"すべてが最高でした！","男性","レジャー"
577,"素晴らしいサービスです。","男性","ビジネス"
578,"素晴らしいサービスです。","女性","レジャー"
579,"素晴らしいサービスです。 素晴らしい部屋です。","女性","ビジネス"
580,"素晴らしいサービスです。 素晴らしい部屋です。","男性","レジャー"
581,"素晴らしいサービスとアメニティ","男性","ビジネス"
582,"素晴らしいスペースと素敵な部屋","女性","レジャー"
583,"素晴らしい場所","女性","ビジネス"
584,"素晴らしいスタッフ","男性","レジャー"
585,"素晴らしいスタッフ","男性","ビジネス"
586,"素晴らしいスタッフ","女性","レジャー"
587,"部屋にスリッパがありません。","女性","ビジネス"
588,"禁煙ポリシー","男性","レジャー"
589,"敷地内にスパサービスはありません","男性","ビジネス"
590,"ロビーにスペースがない","女性","レジャー"
591,"提案なし","女性","ビジネス"
592,"タクシーやシャトルバスは利用できません","男性","レジャー"
593,"お茶はなし","男性","ビジネス"
594,"最高のエリアではない, しかし、価格は比較的リーズナブルです","女性","レジャー"
595,"歯ブラシも歯磨き粉もありません。","女性","ビジネス"
596,"ウェルカムフルーツなし","男性","レジャー"
597,"ウェルカムフルーツなし","男性","ビジネス"
598,"部屋のアップグレードはよかった","女性","レジャー"
599,"部屋のアップグレードは予想外でした。","女性","ビジネス"
600,"お部屋アップグレード！","男性","レジャー"
601,"部屋の眺め, サイズとデザイン。","男性","ビジネス"
602,"部屋は予想以上に良かった","女性","ビジネス"
603,"部屋は広くてよかったです。","男性","レジャー"
604,"部屋は清潔でした。","男性","ビジネス"
605,"部屋は古めかしい","女性","レジャー"
606,"部屋は素晴らしかった","女性","ビジネス"
607,"部屋は素晴らしかった","男性","レジャー"
608,"部屋は素晴らしかったです！","男性","ビジネス"
609,"部屋は期待通りではなかった","女性","レジャー"
610,"部屋の状態は良くなかった","女性","ビジネス"
611,"部屋はあまり良くなかった","男性","レジャー"
612,"部屋は狭かった","男性","ビジネス"
613,"部屋は予想よりずっと広かった","女性","レジャー"
614,"良い立地, フレンドリーなスタッフ, おいしい食べ物","女性","レジャー"
615,"部屋のアップグレードは受けられませんでした。","女性","レジャー"
616,"前の宿泊客の後にバスルームが清掃されていません。 チェックインは悪夢でした。","女性","レジャー"
617,"アップグレードした部屋からの眺めは素晴らしかったです。 従業員は皆フレンドリーでした, フロントデスクから清掃スタッフまで。","女性","レジャー"
618,"快適な客室, 素敵なプール。","女性","レジャー"
619,"素晴らしい経験, 素晴らしいスタッフがいる、よく運営されているホテルです。","女性","レジャー"
620,"良い立地, フレンドリーなスタッフ, おいしい食べ物","女性","ビジネス"
621,"素晴らしい経験, 素晴らしいスタッフがいる、よく運営されているホテルです。","女性","ビジネス"
622,"非常にユーザーフレンドリーな体験。 素晴らしい食事とスタッフ。","女性","レジャー"
623,"素敵な滞在でした。","女性","レジャー"
624,"快適な客室, 素敵なプール。","女性","レジャー"
625,"またここに泊まります。 素晴らしいスタッフ。","女性","レジャー"
626,"妻と私は思い出に残るハネムーン滞在を過ごしました。","男性","レジャー"
627,"このホテルは本当に素晴らしい","女性","レジャー"
628,"従業員全員が非常にフレンドリーで親切でした。","女性","レジャー"
629,"スタッフ全員が親切でフレンドリーでした","女性","ビジネス"
630,"アップグレードした部屋からの眺めは素晴らしかったです。 従業員は皆フレンドリーでした, フロントデスクから清掃スタッフまで。","女性","レジャー"
631,"私たちの滞在はあらゆる面で素晴らしかったです。","女性","レジャー"
632,"アップグレードは大変ありがたかったです。","女性","レジャー"
633,"前の宿泊客が利用した後、バスルームは清掃されていませんでした。 チェックインとチェックアウトは悪夢でした。","女性","レジャー"
634,"部屋のアップグレードは受けられませんでした。","女性","レジャー"
635,"従業員は皆丁寧でした。 ","女性","レジャー"
636,"施設はよく管理されていて、とても清潔でした。 ","女性","レジャー"
637,"部屋はきれいで、食事もおいしくて、かなり安かったです。","女性","レジャー"
638,"立地は良いが、廊下の臭いがひどい。残念","女性","ビジネス"
639,"シーツは清潔でしたが、部屋は臭いがあり清潔ではありませんでした。","女性","ビジネス"
640,"駐車料金とインターネット接続料金が請求されました。","女性","レジャー"
641,"ホテルのシャトルは非常に便利でした ","女性","レジャー"
642,"場所は素晴らしかったです。","男性","ビジネス"
643,"エアコンが作動していませんでした。 修理したとき, それは、あまりにもうるさいということに気づいたことでした。","男性","レジャー"
644,"エアコンの音がうるさい。","男性","レジャー"
645,"部屋のアップグレードを期待していました。","男性","ビジネス"
646,"午後3時30分までに部屋の準備ができません。","男性","ビジネス"
647,"チェックアウト時, スタッフはかなり失礼でした。 しかし、部屋は素敵で、装飾も素敵でした。","男性","ビジネス"
648,"素晴らしいロケーション, 高速シャトルサービス, おいしい食べ物, 清潔な部屋。","男性","ビジネス"
649,"フィットネスルームはありません。 全体的にサービスに非常に失望しました。 部屋が古くなってきています, カーペットや壁はより新鮮になります","男性","ビジネス"
650,"フィットネスルームは開いていませんでした。","男性","ビジネス"
651,"2軒のレストランは週末は閉まっており、ホテルは街から遠すぎます。","男性","レジャー"
652,"無料インターネットアクセス, 清潔な部屋, フレンドリーな人々。","男性","レジャー"
653,"優秀なスタッフ, 素晴らしいロケーション。","男性","ビジネス"
654,"コンセントが清潔ではなかった, 朝食は提案されたものに対して高すぎました。","男性","ビジネス"
655,"夫と私はこの素晴らしいホテルで2日間を過ごしました。必ずまた来ます。","女性","レジャー"
656,"夫と私は素晴らしい滞在を過ごしました。 レストラン, スポーツ施設, 位置, 部屋の設備も素晴らしかったです。","女性","レジャー"
657,"地元の名物料理を数多く取り揃えた、安くて素晴らしいレストラン。","女性","ビジネス"
658,"妻と私はスタッフの丁寧な対応に感謝しています。","男性","レジャー"
659,"素晴らしいロケーションと優れたシャトル施設。","女性","レジャー"
660,"夫と私はフィットネスセンターがとても気に入りました。","女性","レジャー"
661,"古臭い匂いと狭いバスルーム。","女性","ビジネス"
662,"部屋には煙の臭いがした。","女性","ビジネス"
663,"私のリクエストはすべて対応され、丁寧に扱われました。 これまでで最高のホテル体験のひとつです。","女性","レジャー"
664,"朝食時の人員が足りません。","女性","レジャー"
665,"コンシェルジュの素晴らしいサポート。 素敵なアメニティ。 素晴らしい料理","女性","ビジネス"
666,"問題が発生した場合の迅速な対応","女性","レジャー"
667,"人は皆素晴らしい。 ","女性","レジャー"
668,"チェックインが遅い。 Wi-Fi料金を支払わなければなりませんでした。 壁も非常に薄かったです。","女性","レジャー"
669,"チェックアウトはとても早かったです。 部屋の質","女性","レジャー"
670,"チェックインの手続きが長い。受付にもっと人員を配置してもよかった。","女性","レジャー"
671,"チェックイン、チェックアウト時に待ち時間はありません。","女性","レジャー"
672,"朝食時の待ち時間が長すぎます。","女性","レジャー"
673,"チェックアウトの待ち時間が短い","女性","レジャー"
674,"エレベーターで4階まで行くのに時間がかかります。","女性","レジャー"
675,"スタッフは必ずしも私たちの子供たちに親切ではありません。","女性","レジャー"
676,"インターネットは無料であるべきだ","男性","レジャー"
677,"インターネットは無料であるべきだ","男性","レジャー"
678,"インターネットは無料であるべきだ","女性","レジャー"
679,"インターネットは無料であるべきだ","女性","レジャー"
680,"インターネットアクセスに高額な料金を支払わなければなりませんでした。","女性","レジャー"
681,"私の部屋ではWi-Fiが機能しませんでした。","女性","ビジネス"
682,"清潔ではないことが分かりました。 ","女性","レジャー"
683,"スタッフの親切さと食事の質","女性","ビジネス"
684,"とても静かです。 婚約者と素晴らしい滞在を楽しみました。 必ずまた来ます","女性","レジャー"
685,"ユニットは広々としており、設備も充実していました。 立地が良く、エリアへのアクセスも良好です。 とても静かで良い地域です。","男性","ビジネス"
686,"インターネットアクセスに 8.99 ドル払うのは高すぎます。","男性","レジャー"
687,"とても快適なベッド, 素晴らしいレストランと非常に迅速な清掃サービス。","女性","ビジネス"
688,"スタッフの親切さ。","女性","レジャー"
689,"コスト効率が良い。","女性","レジャー"
690,"平均的なホテル","女性","レジャー"
691,"平均的なホテル","男性","レジャー"
692,"平均的なホテル, 唯一の良い点は場所だ","女性","レジャー"
693,"平均的な品質","男性","ビジネス"
694,"平均的なサービス ","女性","レジャー"
695,"素晴らしい施設, フレンドリーな人々。","男性","レジャー"
696,"チェックイン時の体験が悪く、有料の部屋のアップグレードしか利用できないと言われた, そうでなければ、次のカテゴリにも利用できません。","女性","レジャー"
697,"サービスに関する悪い経験。","女性","レジャー"
698,"悪い食べ物, サービスが悪い","女性","レジャー"
699,"インターネット設備が悪い, シャワーの水圧が低い","女性","レジャー"
700,"悪いサービス","女性","レジャー"
701,"悪い経験","女性","レジャー"
702,"チェックインは非常に役に立ちました ","女性","レジャー"
703,"チェックインは迅速かつフレンドリーでした。  ","女性","レジャー"
704,"チェックインは早かったです。 サービスはよかったです。","女性","レジャー"
705,"快適な客室, 美しい敷地","女性","レジャー"
706,"快適な客室, 素晴らしいサービス, 便利な立地です。","女性","レジャー"
707,"快適な客室, フレンドリーなスタッフ","女性","レジャー"
708,"快適な客室, 素晴らしい店やレストラン","女性","ビジネス"
709,"快適な客室, スタイリッシュ, 無料のワイヤレス。","女性","レジャー"
710,"雰囲気とスタッフが気に入りました","男性","レジャー"
711,"バスルームが気に入りました","女性","レジャー"
712,"バスルームが気に入りました!","男性","レジャー"
713,"ビーチチェアが気に入りました","女性","レジャー"
714,"ビーチが気に入りました。 部屋は清潔でした。 良いエクササイズルーム","男性","レジャー"
715,"ベッドが気に入りました","女性","レジャー"
716,"ベッドと枕が気に入りました。","男性","レジャー"
717,"ベッドとシャワー、そしてホテルと部屋の全体的なデザインが気に入りました。 ここに泊まるととても優雅な気分になりました！","女性","ビジネス"
718,"ベッドとシャワーがとても気に入りました。水圧も最高でした!!","男性","レジャー"
719,"ベッドが気に入りました！","女性","レジャー"
720,"ベッドが気に入りました!!!! ","男性","レジャー"
721,"ベッドが気に入りました, とても快適です！","女性","レジャー"
722,"ベッドが気に入りました。","男性","レジャー"
723,"ベッドが気に入りました。 部屋は広くて清潔でしたが、明るさが足りませんでした。","女性","レジャー"
724,"寝具が気に入りました","男性","レジャー"
725,"寝具が気に入りました, とても快適です。 部屋は清潔で静かだった","女性","ビジネス"
726,"ベッドと寝具が気に入りました","男性","ビジネス"
727,"ベッドが気に入りました！","女性","ビジネス"
728,"ベッドが気に入りました！","男性","ビジネス"
729,"スタッフはとてもフレンドリーで親切です","女性","ビジネス"
730,"スタッフはとてもフレンドリーです","男性","ビジネス"
731,"スタッフはとてもフレンドリーで親切です。","女性","ビジネス"
732,"スタッフはとてもフレンドリーで、朝食も種類が豊富でとても美味しかったです。","男性","レジャー"
733,"スタッフはとてもフレンドリーで親切です","女性","レジャー"
734,"スタッフはとてもフレンドリーです, 親切でプロフェッショナル","女性","レジャー"
735,"スタッフはとてもフレンドリーです。","女性","レジャー"
736,"スタッフはとても親切でフレンドリーです。  ","女性","レジャー"
737,"スタッフはとても親切で、場所もとても良いです","女性","レジャー"
738,"スタッフはとても知識が豊富で親切です!","女性","レジャー"
739,"スタッフはとても親切で、対応もよかったです。","女性","レジャー"
740,"スタッフの皆さんは素晴らしかったです！","女性","レジャー"
741,"あなたのスタッフは素晴らしかったです。 あらゆる面が素晴らしかったです。 ハウスキーピング, フロントデスク, バースタッフ, メンテナンス, そしてクラブスタッフ!!! 素晴らしい仕事だ。","女性","レジャー"
742,"スタッフは素晴らしかったです。 フレンドリー, 役立つ。","男性","レジャー"
743,"お客様に対するおもてなしが素晴らしいです。","男性","レジャー"
744,"アップグレードはとてもよかったです","男性","ビジネス"
745,"あなたの係員は最高でした","女性","レジャー"
746,"ロビーでの無線LANアクセスは非常に, とても貧しい。 ","女性","レジャー"
747,"あなたの素晴らしい, 親切なスタッフ。","女性","レジャー"
748,"滑りやすい床。 89歳の母が転んで足を骨折しました。 ","女性","レジャー"
749,"おいしい朝食, 柔らかくて快適なベッド , とてもフレンドリーなスタッフ , ルームサービスはいつも迅速","女性","レジャー"
750,"部屋は小さかった。","女性","レジャー"
751,"メンバーステータスの承認はゼロです。 ","女性","ビジネス"
752,"チェックインはひどかった。 彼らは私たちの予約を紛失してしまいました。","男性","レジャー"
753,"私はインターネットで2部屋を予約しました。1部屋は私と夫用、もう1部屋は3人の子供用でしたが、私たちの予約が紛失してしまいました。","男性","レジャー"
754,"二度と戻ってこない。","男性","ビジネス"
755,"このホテルは避けてください。 うるさいです, 汚い, 値段が高く、スタッフは非常に傲慢です","男性","レジャー"
756,"素晴らしいホテル, おいしい朝食, 柔らかくて快適なベッド , とてもフレンドリーなスタッフ , ルームサービスはいつも迅速","女性","レジャー"
757,"浴室の悪臭","女性","レジャー"
758,"臭いバスルーム","女性","レジャー"
759,"あなたのホテルを誰にも勧められません。","女性","レジャー"
760,"このホテルに前回泊まったときはがっかりしました。 部屋は狭く、朝食は平均以上で高価でした。","男性","レジャー"
761,"清潔な部屋とベッドシーツ","女性","レジャー"
762,"清潔な部屋と素晴らしいフィットネス施設","女性","ビジネス"
763,"清潔な部屋、便利なチェックイン","女性","レジャー"
764,"クリーンルームは早く準備できました。 フレンドリーなスタッフ。 素晴らしいロケーション","女性","レジャー"
765,"快適なベッドを備えた清潔な部屋。 スタッフはとてもフレンドリーでした。 素敵な無料の朝食/ハッピーアワー。","女性","レジャー"
766,"非常に良いアメニティを備えた清潔な部屋","女性","レジャー"
767,"部屋は清潔で、スタッフもとても丁寧でした。","女性","レジャー"
768,"部屋は清潔でベッドも快適でした!!!","女性","レジャー"
769,"部屋は清潔、スタッフも親切","女性","ビジネス"
770,"清潔な部屋, 快適なベッド, 素晴らしいサービス, 素敵な従業員。","女性","ビジネス"
771,"清潔な部屋, フレンドリーで親切なスタッフ。","女性","レジャー"
772,"ロビーではコーヒーが飲めません","男性","レジャー"
773,"コーヒーバーにスタッフがいない","男性","ビジネス"
774,"部屋には防音設備がありません","男性","レジャー"
775,"防音が悪い","男性","レジャー"
776,"防音対策なし","男性","レジャー"
777,"ホテルの装飾と雰囲気は豪華です","女性","ビジネス"
778,"チェックイン時に部屋が全く徹底的に掃除されていませんでした。 バスルームに髪の毛が落ちている。 ","女性","レジャー"
779,"使い古された家具。 とても寝心地の悪いベッド。 とてもうるさい","男性","ビジネス"
780,"立地は良い - 部屋は清潔 - スタッフは親切","女性","レジャー"
781,"シャワーはカビだらけだった","男性","レジャー"
782,"空港までのシャトルサービスは素晴らしかったです。","女性","ビジネス"
783,"シャトルサービスは素晴らしかった","男性","レジャー"
784,"全体的にとても満足しました","女性","ビジネス"
785,"とても丁寧なスタッフとホテルのハッピーアワーメニュー。","男性","レジャー"
786,"とても美しいリゾートです。 よく対応していただきました。","女性","ビジネス"
787,"とても美しい環境です。 よく訓練されたスタッフ。","男性","レジャー"
788,"とても美しい, 素晴らしいアメニティ。","女性","ビジネス"
789,"非常に迅速なチェックイン, 素早いルームサービス。","男性","レジャー"
790,"周囲が清潔ではない","女性","ビジネス"
791,"客室内のWi-Fiは正常に機能しません","男性","レジャー"
792,"レストランとミニバーは非常に高価です","女性","ビジネス"
793,"客室内のWi-Fiが正常に機能しない","男性","レジャー"
794,"客室内のWi-Fiがいつも正常に機能するとは限りません","女性","ビジネス"
795,"ロビーのWi-Fiが機能しない","男性","レジャー"
796,"ロビーのWi-Fiが常に正常に機能するとは限りません","女性","ビジネス"
797,"非常に効率的でフレンドリーなサービス","男性","レジャー"
798,"非常に効率的で良いサービス","女性","ビジネス"
799,"エアコンに問題があった","男性","レジャー"
800,"このホテルは過大評価されていると思う。 バスルームのタオルハンガーが落ちていました。 客室内ではWi-Fiは無料ではありません。","女性","ビジネス"
801,"ベッドは柔らかすぎました。 タオルは十分に柔らかくありませんでした。 ","男性","レジャー"
802,"フロントデスクはゲストのニーズにもっと気を配ってほしかったと思います。","女性","ビジネス"
803,"ホテルに宿泊する場合、ガレージの駐車料金はかからないと思います。","男性","レジャー"
804,"壁が薄かった","女性","ビジネス"
805,"清潔さと部屋の設備の古さにがっかりしました。 ライトが機能しません。","男性","レジャー"
806,"部屋は少し古くなって、以前訪れたときほど良くありませんでした。","女性","ビジネス"
807,"ルームサービスはご利用いただけません。 廊下の騒音。 非常に高価な朝食。","男性","レジャー"
808,"部屋は良かった, ハウスキーピング, コンシェルジュ, ベルマンの対応も本当に素晴らしかったです。 ","女性","ビジネス"
809,"部屋は期待したほど清潔ではありませんでした。","男性","レジャー"
810,"部屋は期待していたほど清潔ではなかった","女性","ビジネス"
811,"コーヒーは客室までお届けします。客室清掃は1日2回です。","男性","レジャー"
812,"チェックイン前に部屋が掃除されていなかったことにかなり驚きました。","女性","ビジネス"
813,"チェックイン前に部屋が掃除されていない","男性","レジャー"
814,"このホテルは立地と雰囲気が気に入っています","女性","ビジネス"
815,"このホテルやレストランに気に入らないところはありませんでした","男性","レジャー"
816,"こんなにひどいサービスを受けたのは初めてだ","女性","ビジネス"
817,"インナープールはジャグジーやスパほど清潔ではありません","男性","レジャー"
818,"他のレストランよりもメニューの選択肢が豊富で、価格も安いです。","女性","ビジネス"
819,"寝室にテレビやインターネット接続がありません","男性","レジャー"
820,"寝室にテレビやインターネット接続がない","女性","ビジネス"
